,train_name,train_number,source,destination,distance,total_time,departure,arrival
0,Jammu Tawi Udhampur Special,04601,JAMMU TAWI,UDHAMPUR,53,0 days 01:35:00,10:40:00,12:15:00
1,JAT UDAHMPUR DMU,04603,JAMMU TAWI,UDHAMPUR,53,0 days 01:35:00,16:15:00,17:50:00
3,UDHAMPUR JAMMUTAWI DMU,04604,UDHAMPUR,JAMMU TAWI,53,0 days 01:30:00,18:20:00,19:50:00
4,Mumbai BandraT-Bikaner SF Special,04728,MUMBAI BANDRA TERMINUS,BIKANER JN,1212,0 days 21:55:00,14:35:00,12:30:00
5,Sirsa - Hisar Passenger Special,04741,Sirsa,Hisar,82,0 days 01:35:00,22:50:00,00:25:00
6,Hisar - Sirsa Passenger Special,04742,Hisar,Sirsa,82,0 days 01:50:00,04:20:00,06:10:00
7,Rewari Degana Merta Special,04853,DEGANA JN,MERTA ROAD JN,44,0 days 01:15:00,22:30:00,23:45:00
8,Degana Merta Special,04854,MERTA ROAD JN,DEGANA JN,44,0 days 01:00:00,03:40:00,04:40:00
9,JAMMU TAWI - BANDRA TERMINUS AC Suvidha Special (Starts 5 April),09022,JAMMU TAWI,MUMBAI BANDRA TERMINUS,1957,1 days 08:20:00,09:30:00,17:50:00
10,Chalukya Express,11017,MUMBAI DADAR CENTRAL,YESVANTPUR JN,1205,1 days 00:25:00,21:30:00,21:55:00
11,Konark Express,11019,MUMBAI CST,BHUBANESWAR,1932,1 days 13:15:00,15:10:00,04:25:00
12,Konark Express,11020,BHUBANESWAR,MUMBAI CST,1932,1 days 12:35:00,15:20:00,03:55:00
13,Sahyadri Express,11023,MUMBAI CST,C SHAHU M RAJ KOLHAPUR TERM,518,0 days 12:15:00,17:50:00,06:05:00
14,Sahyadri Express,11024,C SHAHU M RAJ KOLHAPUR TERM,MUMBAI CST,518,0 days 13:05:00,22:50:00,11:55:00
15,Manmad Pune Express(Via Nasik),11025,MANMAD JN,PUNE JN,364,0 days 07:35:00,04:30:00,12:05:00
16,Pune Manmad Express,11026,PUNE JN,MANMAD JN,364,0 days 08:40:00,12:50:00,21:30:00
17,Mumbai CST-Chennai Mail,11027,MUMBAI CST,CHENNAI CENTRAL,1283,1 days 05:10:00,23:45:00,04:55:00
18,Koyna Express,11029,MUMBAI CST,C SHAHU M RAJ KOLHAPUR TERM,518,0 days 11:45:00,08:40:00,20:25:00
19,Koyna Express,11030,C SHAHU M RAJ KOLHAPUR TERM,MUMBAI CST,518,0 days 12:27:00,07:55:00,20:22:00
20,PUNE - DARBHANGA Gyan Ganga Exp,11033,PUNE JN,DARBHANGA JN,1948,1 days 14:30:00,16:15:00,06:45:00
21,Dadar-Mysore Sharavati Express,11035,MUMBAI DADAR CENTRAL,MYSORE JN,1212,1 days 00:15:00,21:30:00,21:45:00
22,Mysore-Dadar Sharavati Express,11036,MYSORE JN,MUMBAI DADAR CENTRAL,1212,0 days 23:35:00,06:15:00,05:50:00
23,PUNE - GORAKHPUR Exp,11037,PUNE JN,GORAKHPUR JN,1771,1 days 09:00:00,16:15:00,01:15:00
24,GORAKHPUR - PUNE Exp,11038,GORAKHPUR JN,PUNE JN,1771,1 days 12:35:00,15:30:00,04:05:00
25,Maharashtra Express,11039,C SHAHU M RAJ KOLHAPUR TERM,GONDIA JN,1346,1 days 04:45:00,15:30:00,20:15:00
26,Kolhapur-Gorakhpur Express Slip,11039-Slip,C SHAHU M RAJ KOLHAPUR TERM,GORAKHPUR JN,2107,2 days 03:40:00,15:30:00,19:10:00
27,Maharashtra Express,11040,GONDIA JN,C SHAHU M RAJ KOLHAPUR TERM,1346,1 days 04:25:00,08:20:00,12:45:00
28,Gondia-Solapur Maharashtra Express Slip,11040-Slip,GONDIA JN,SOLAPUR JN,1132,1 days 00:30:00,08:20:00,08:50:00
29,Mumbai - Chennai Express,11041,MUMBAI CST,CHENNAI CENTRAL,1283,1 days 02:45:00,14:00:00,16:45:00
30,MUMBAI LTT - MADURAI Exp,11043,LOKMANYA TILAK TERM,MADURAI JN,1702,1 days 12:15:00,00:15:00,12:30:00
31,MADURAI - MUMBAI LTT Exp,11044,MADURAI JN,LOKMANYA TILAK TERM,1702,1 days 11:45:00,18:00:00,05:45:00
32,KOLHAPUR CSMT - DHANBAD Deekshabhoomi Exp,11045,C SHAHU M RAJ KOLHAPUR TERM,DHANBAD JN,2968,2 days 12:15:00,23:45:00,12:00:00
33,Hubli Express,11047,MIRAJ JN,HUBLI JN,279,0 days 06:15:00,00:10:00,06:25:00
34,Hubli Miraj Express,11048,HUBLI JN,MIRAJ JN,279,0 days 06:15:00,23:00:00,05:15:00
35,Ahmedabad-Kolhapur Express,11049,AHMEDABAD JN,C SHAHU M RAJ KOLHAPUR TERM,961,0 days 19:55:00,19:30:00,15:25:00
36,Kolhapur-Ahmedabad Express,11050,C SHAHU M RAJ KOLHAPUR TERM,AHMEDABAD JN,961,0 days 18:55:00,12:50:00,07:45:00
37,Solapur-Kolhapur Express,11051,SOLAPUR JN,C SHAHU M RAJ KOLHAPUR TERM,315,0 days 06:05:00,08:10:00,14:15:00
38,Kolhapur Solapur Express,11052,C SHAHU M RAJ KOLHAPUR TERM,SOLAPUR JN,315,0 days 06:15:00,08:45:00,15:00:00
39,GORAKHPUR - MUMBAI LTT Exp,11056,GORAKHPUR JN,LOKMANYA TILAK TERM,1733,1 days 09:40:00,06:25:00,16:05:00
40,Dadar Amritsar Express,11057,MUMBAI DADAR CENTRAL,AMRITSAR JN,2037,1 days 16:45:00,23:45:00,16:30:00
41,Dadar Amritsar Express Slip,11057-Slip,MUMBAI DADAR CENTRAL,Dhule,375,0 days 07:40:00,23:45:00,07:25:00
42,Amritsar Dadar Express,11058,AMRITSAR JN,MUMBAI DADAR CENTRAL,2037,1 days 19:30:00,08:30:00,04:00:00
43,MUMBAI LTT - CHHAPRA Godan Exp,11059,LOKMANYA TILAK TERM,CHHAPRA,1772,1 days 10:00:00,10:55:00,20:55:00
44,CHHAPRA - MUMBAI LTT Godan Exp,11060,CHHAPRA,LOKMANYA TILAK TERM,1772,1 days 10:35:00,05:30:00,16:05:00
45,DARBHANGA - MUMBAI LTT Pawan Exp,11062,DARBHANGA JN,LOKMANYA TILAK TERM,1791,1 days 11:55:00,15:50:00,03:45:00
46,Kottayam Kollam Passenger,56305,KOTTAYAM,KOLLAM JN,96,0 days 02:30:00,05:40:00,08:10:00
47,Ranchi Lohardaga Passenger,58651,RANCHI,Lohardaga,67,0 days 01:30:00,05:30:00,07:00:00
48,Jodhpur Pipar Road Passenger Special,04858,JODHPUR JN,PIPAR ROAD JN,46,0 days 00:58:00,18:30:00,19:28:00
49,Farrukhabad-KanpurAnwarganj Passenger,05305,FARRUKHABAD,KANPUR ANWARGANJ,138,0 days 03:25:00,11:00:00,14:25:00
50,KanpurAnwarganj-Farrukhabad Special,05306,KANPUR ANWARGANJ,FARRUKHABAD,138,0 days 03:25:00,14:55:00,18:20:00
51,Kamakhya - Mumbai LTT (Weekly) Special,05650,KAMAKHYA,LOKMANYA TILAK TERM,2613,2 days 06:55:00,15:50:00,22:45:00
52,Hill Queen Express,05697,LUMDING JN,Lower Haflong,104,0 days 03:45:00,09:45:00,13:30:00
53,Hill Queen Express,05698,Lower Haflong,LUMDING JN,104,0 days 03:45:00,13:45:00,17:30:00
54,Kollam-Chennai Central SF Special,06002,KOLLAM JN,CHENNAI CENTRAL,858,0 days 16:10:00,11:30:00,03:40:00
55,Chennai Central-Kollam Special,06003,CHENNAI CENTRAL,KOLLAM JN,857,0 days 14:45:00,20:45:00,11:30:00
56,Kollam-Chennai Central Special,06004,KOLLAM JN,CHENNAI CENTRAL,857,0 days 16:55:00,17:50:00,10:45:00
57,Chennai Central-Kollam SF Special,06005,CHENNAI CENTRAL,KOLLAM JN,857,0 days 14:45:00,20:45:00,11:30:00
58,Kollam-Chennai Central SF Special,06006,KOLLAM JN,CHENNAI CENTRAL,857,0 days 16:55:00,17:50:00,10:45:00
59,Chennai Central-Kollam SF Special,06007,CHENNAI CENTRAL,KOLLAM JN,858,0 days 15:30:00,15:15:00,06:45:00
60,KollamChennai Central SF Special,06008,KOLLAM JN,CHENNAI CENTRAL,858,0 days 16:10:00,11:30:00,03:40:00
61,Chennai CentralKollam SF Special,06009,CHENNAI CENTRAL,KOLLAM JN,858,0 days 16:00:00,23:30:00,15:30:00
62,Chennai Central Kollam (Weekly) SF Special,06011,CHENNAI CENTRAL,KOLLAM JN,858,0 days 14:30:00,15:15:00,05:45:00
63,Mysore-Sainagar Shirdi Special,06201,MYSORE JN,SAINAGAR SHIRDI,1304,1 days 06:00:00,05:30:00,11:30:00
64,Sainagar Shirdi - Mysore Special,06202,SAINAGAR SHIRDI,MYSORE JN,1304,1 days 07:15:00,23:55:00,07:10:00
65,Mysore Nanjangud Town passenger,06215,MYSORE JN,NANJANGUD TOWN,25,0 days 00:55:00,16:10:00,17:05:00
66,Nanjangud Town Mysore Passenger,06216,NANJANGUD TOWN,MYSORE JN,25,0 days 00:50:00,17:30:00,18:20:00
67,Shimoga Mysore Express,06228,Shimoga Town,MYSORE JN,276,0 days 08:50:00,22:10:00,07:00:00
68,Nagercoil-Mangalore Special,06301,NAGERCOIL JN,MANGALORE JN,711,0 days 17:40:00,16:50:00,10:30:00
69,Mangalore-Nagercoil Special,06302,MANGALORE JN,NAGERCOIL JN,711,0 days 15:35:00,16:15:00,07:50:00
70,Yesvantpur - Ahmedabad Garib Rath Special,06501,YESVANTPUR JN,AHMEDABAD JN,1719,1 days 10:50:00,05:20:00,16:10:00
71,Ahmedabad -Yesvantpur Garib Rath Special,06502,AHMEDABAD JN,YESVANTPUR JN,1719,1 days 15:10:00,20:15:00,11:25:00
72,Bijapur Express,06535,YESVANTPUR JN,BIJAPUR,712,0 days 15:15:00,19:45:00,11:00:00
73,Bijapur-Yesvantpur Special,06536,BIJAPUR,YESVANTPUR JN,712,0 days 15:35:00,17:40:00,09:15:00
74,Yesvantpur-Hosur Passenger Special,06591,YESVANTPUR JN,Hosur,67,0 days 01:35:00,06:20:00,07:55:00
75,Hosur-Yesvantpur Passenger,06592,Hosur,YESVANTPUR JN,67,0 days 01:40:00,08:10:00,09:50:00
76,Hosur-Yesvantpur Passenger Special,06594,Hosur,YESVANTPUR JN,67,0 days 01:35:00,17:45:00,19:20:00
77,Yesvantpur-Devanhalli Special,06595,YESVANTPUR JN,Devanhalli,36,0 days 01:05:00,10:40:00,11:45:00
78,Devanahalli-Yesvantpur Special,06596,Devanhalli,YESVANTPUR JN,36,0 days 01:10:00,13:15:00,14:25:00
79,Coimbatore-Nagercoil Special,06617,COIMBATORE JN,NAGERCOIL JN,497,0 days 10:20:00,20:20:00,06:40:00
80,Nagercoil-Coimbatore Special,06618,NAGERCOIL JN,COIMBATORE JN,497,0 days 11:45:00,20:15:00,08:00:00
81,Coimbatore-Yesvantpur SF Special,06621,COIMBATORE JN,YESVANTPUR JN,440,0 days 07:20:00,06:00:00,13:20:00
82,Yesvantpur-Coimbatore SF Special,06622,YESVANTPUR JN,COIMBATORE JN,440,0 days 07:25:00,14:15:00,21:40:00
83,Karaikkudi Manamadurai Passenger,06837,Karaikkudi Junction,MANAMADURAI JN,61,0 days 01:20:00,18:30:00,19:50:00
84,Manamadurai Karaikkudi Passenger,06838,MANAMADURAI JN,Karaikkudi Junction,61,0 days 01:20:00,07:55:00,09:15:00
85,Tiruchirappalli Karaikkudi Passenger Special,06839,TIRUCHIRAPPALLI,Karaikkudi Junction,90,0 days 02:20:00,15:55:00,18:15:00
86,Karaikkudi-Tiruchirappalli Passenger Special,06840,Karaikkudi Junction,TIRUCHIRAPPALLI,90,0 days 02:25:00,09:40:00,12:05:00
87,Hubli Jn - Vasco Da Gama Link Express,06948,HUBLI JN,VASCO DA GAMA,236,0 days 07:30:00,23:00:00,06:30:00
88,Hyderabad-Korba Special,07003,HYDERABAD DECCAN,Korba,996,0 days 19:00:00,10:45:00,05:45:00
89,Korba-Hyderabad Special,07004,Korba,HYDERABAD DECCAN,999,0 days 20:45:00,08:00:00,04:45:00
90,Ajmer - Hyderabad Special,07105,AJMER JN,HYDERABAD DECCAN,2033,1 days 15:15:00,22:45:00,14:00:00
91,Chennai Beach Tambaram EMU,40005,CHENNAI BEACH,TAMBARAM,29,0 days 00:55:00,06:20:00,07:15:00
92,Shahganj Ballia Passenger,55138,SHAHGANJ JN,BALLIA,168,0 days 04:30:00,06:15:00,10:45:00
93,Kottayam Kollam Passenger,56393,KOTTAYAM,KOLLAM JN,96,0 days 02:30:00,17:45:00,20:15:00
94,DELHI SARAI ROHILLA - KOTDWAR Mussoorie Exp,24041,NAJIBABAD JN,KOTDWARA,,,,
95,Shahu Maharaj T. Kolhapur - Hyderabad Special,07144,C SHAHU M RAJ KOLHAPUR TERM,HYDERABAD DECCAN,998,0 days 23:15:00,07:30:00,06:45:00
96,Mysore Shimoga Express,07301,MYSORE JN,Shimoga Town,276,0 days 07:55:00,22:15:00,06:10:00
97,Adilabad-Nanded Special,07403,ADILABAD,HUZUR SAHIB NANDED,185,0 days 04:45:00,07:30:00,12:15:00
98,Nanded-Adilabad Special,07404,HUZUR SAHIB NANDED,ADILABAD,185,0 days 04:30:00,15:00:00,19:30:00
99,Kacheguda Kamareddi Special,07603,KACHEGUDA,KAMAREDDI,114,0 days 03:20:00,09:10:00,12:30:00
100,Kamareddi-Nizamabad Passenger Special,07605,KAMAREDDI,NIZAMABAD,52,0 days 00:55:00,12:45:00,13:40:00
101,Nizamabad-Kamareddi Special,07606,NIZAMABAD,KAMAREDDI,52,0 days 00:55:00,14:20:00,15:15:00
102,Secunderabad - Mancherial Special,07607,SECUNDERABAD JN,MANCHIRYAL,239,0 days 04:05:00,05:30:00,09:35:00
103,Mancherial - Secunderabad Special,07608,MANCHIRYAL,SECUNDERABAD JN,239,0 days 04:00:00,10:30:00,14:30:00
104,Kharagpur-Jhargram Express Special,08001,KHARAGPUR JN,JHARGRAM,39,0 days 00:35:00,10:10:00,10:45:00
105,Jhargram-Kharagpur Special,08002,JHARGRAM,KHARAGPUR JN,39,0 days 00:55:00,18:25:00,19:20:00
106,Mysore - Howrah Special,08004,MYSORE JN,HOWRAH JN,2111,1 days 14:20:00,00:30:00,14:50:00
107,Kharagpur- Jhargram MEMU Special,08017,KHARAGPUR JN,JHARGRAM,38,0 days 00:50:00,05:10:00,06:00:00
